State,SA4 Name 2021,National LGA Name 2024,National Remoteness Areas,Location ID
NSW,New England and North West,Gwydir,Outer Regional Australia,399
SA,Adelaide - North,Port Adelaide Enfield,Major Cities of Australia,400
VIC,Bendigo,Macedon Ranges,Inner Regional Australia,401
VIC,Melbourne - North East,Banyule,Major Cities of Australia,402
NSW,Central West,Lithgow,Outer Regional Australia,403
NSW,Murray,Federation,Inner Regional Australia,404
NSW,Riverina,Wagga Wagga,Outer Regional Australia,405
NSW,Far West and Orana,Coonamble,Remote Australia,406
NSW,Mid North Coast,Kempsey,Inner Regional Australia,407
NSW,Riverina,Carrathool,Outer Regional Australia,408
QLD,Queensland - Outback,Barcoo,Very Remote Australia,409
QLD,Queensland - Outback,Mareeba,Outer Regional Australia,410
VIC,Melbourne - West,Hobsons Bay,Major Cities of Australia,411
NSW,Riverina,Temora,Outer Regional Australia,412
SA,South Australia - South East,Karoonda East Murray,Outer Regional Australia,413
QLD,Central Queensland,Livingstone,Inner Regional Australia,414
VIC,Latrobe - Gippsland,Unincorporated Vic,Outer Regional Australia,415
VIC,North West,Gannawarra,Outer Regional Australia,416
NSW,Sydney - Outer West and Blue Mountains,Blue Mountains,Inner Regional Australia,417
SA,South Australia - Outback,Ceduna,Very Remote Australia,418
NSW,Sydney - Ryde,Parramatta,Major Cities of Australia,419
QLD,Mackay - Isaac - Whitsunday,Whitsunday,Remote Australia,420
NSW,Illawarra,Shellharbour,Inner Regional Australia,421
NT,Darwin,Darwin,Outer Regional Australia,422
VIC,Latrobe - Gippsland,Baw Baw,Outer Regional Australia,423
NT,Northern Territory - Outback,Central Desert,Very Remote Australia,424
NSW,Sydney - Outer South West,Sutherland,Inner Regional Australia,425
NSW,Mid North Coast,Kempsey,Outer Regional Australia,426
SA,South Australia - Outback,Wudinna,Very Remote Australia,427
QLD,Queensland - Outback,Murweh,Very Remote Australia,428
NSW,Capital Region,Eurobodalla,Outer Regional Australia,429
SA,South Australia - South East,Renmark Paringa,Outer Regional Australia,430
SA,South Australia - South East,Loxton Waikerie,Outer Regional Australia,431
TAS,West and North West,Central Coast (Tas.),Outer Regional Australia,432
NSW,Murray,Berrigan,Outer Regional Australia,433
SA,Adelaide - Central and Hills,Norwood Payneham and St Peters,Major Cities of Australia,434
TAS,Hobart,Sorell,Outer Regional Australia,435
NSW,Coffs Harbour - Grafton,Clarence Valley,Outer Regional Australia,436
NSW,Capital Region,Yass Valley,Major Cities of Australia,437
NT,Northern Territory - Outback,MacDonnell,Very Remote Australia,438
NSW,Riverina,Leeton,Outer Regional Australia,439
NSW,Murray,Balranald,Remote Australia,440
QLD,Gold Coast,Scenic Rim,Inner Regional Australia,441
NSW,Mid North Coast,Port Macquarie-Hastings,Outer Regional Australia,442
TAS,South East,Kingborough,Outer Regional Australia,443
VIC,Melbourne - Inner,Merri-bek,Major Cities of Australia,444
SA,Barossa - Yorke - Mid North,Copper Coast,Outer Regional Australia,445
NSW,Riverina,Lockhart,Inner Regional Australia,446
SA,South Australia - South East,Naracoorte Lucindale,Outer Regional Australia,447
SA,South Australia - South East,Southern Mallee,Remote Australia,448
NSW,New England and North West,Glen Innes Severn,Inner Regional Australia,449
NSW,Sydney - Baulkham Hills and Hawkesbury,Hornsby,Inner Regional Australia,450
TAS,West and North West,Kentish,Outer Regional Australia,451
SA,Barossa - Yorke - Mid North,Goyder,Inner Regional Australia,452
VIC,Melbourne - North West,Brimbank,Major Cities of Australia,453
SA,South Australia - Outback,Flinders Ranges,Outer Regional Australia,454
VIC,Geelong,Greater Geelong,Inner Regional Australia,455
VIC,Bendigo,Loddon,Inner Regional Australia,456
NSW,Riverina,Junee,Inner Regional Australia,457
SA,South Australia - South East,Victor Harbor,Inner Regional Australia,458
SA,Adelaide - Central and Hills,Burnside,Major Cities of Australia,459
NT,Northern Territory - Outback,Coomalie ,Remote Australia,460
VIC,Melbourne - Outer East,Manningham,Major Cities of Australia,461
VIC,Warrnambool and South West,Corangamite,Outer Regional Australia,462
SA,Barossa - Yorke - Mid North,Wakefield,Inner Regional Australia,463
NSW,Sydney - North Sydney and Hornsby,Mosman,Major Cities of Australia,464
TAS,South East,Glamorgan-Spring Bay,Outer Regional Australia,465
NSW,Sydney - Outer West and Blue Mountains,Hawkesbury,Major Cities of Australia,466
NSW,Sydney - Outer West and Blue Mountains,Penrith,Inner Regional Australia,467
TAS,South East,Southern Midlands,Outer Regional Australia,468
QLD,Logan - Beaudesert,Scenic Rim,Outer Regional Australia,469
VIC,Bendigo,Mount Alexander,Inner Regional Australia,470
NSW,Sydney - North Sydney and Hornsby,North Sydney,Major Cities of Australia,471
NT,Northern Territory - Outback,Roper Gulf,Very Remote Australia,472
QLD,Darling Downs - Maranoa,Western Downs,Inner Regional Australia,473
NSW,Sydney - Eastern Suburbs,Woollahra,Major Cities of Australia,474
SA,Adelaide - Central and Hills,Prospect,Major Cities of Australia,475
QLD,Queensland - Outback,Mareeba,Remote Australia,476
VIC,North West,Mildura,Remote Australia,477
VIC,Latrobe - Gippsland,Wellington,Outer Regional Australia,478
QLD,Queensland - Outback,Northern Peninsula Area,Very Remote Australia,479
VIC,Melbourne - North East,Mitchell,Major Cities of Australia,480
NSW,Sydney - Outer South West,Wingecarribee,Inner Regional Australia,481
NSW,Richmond - Tweed,Kyogle,Outer Regional Australia,482
NSW,Hunter Valley exc Newcastle,Port Stephens,Major Cities of Australia,483
NT,Darwin,Unincorporated NT,Outer Regional Australia,484
SA,Barossa - Yorke - Mid North,Orroroo Carrieton,Outer Regional Australia,485
VIC,Ballarat,Central Goldfields,Inner Regional Australia,486
NT,Northern Territory - Outback,Unincorporated NT,Remote Australia,487
NSW,Far West and Orana,Central Darling,Very Remote Australia,488
QLD,Darling Downs - Maranoa,Balonne,Remote Australia,489
TAS,Hobart,Kingborough,Inner Regional Australia,490
QLD,Darling Downs - Maranoa,Maranoa,Very Remote Australia,491
VIC,Bendigo,Loddon,Outer Regional Australia,492
NSW,Far West and Orana,Walgett,Remote Australia,493
NSW,Riverina,Coolamon,Outer Regional Australia,494
QLD,Queensland - Outback,Bulloo,Very Remote Australia,495
NSW,Coffs Harbour - Grafton,Bellingen,Outer Regional Australia,496
NSW,Sydney - North Sydney and Hornsby,Lane Cove,Major Cities of Australia,497
NSW,New England and North West,Walcha,Outer Regional Australia,498
VIC,North West,Northern Grampians,Inner Regional Australia,499
NSW,Far West and Orana,Bogan,Very Remote Australia,500
NSW,Sydney - Baulkham Hills and Hawkesbury,The Hills,Inner Regional Australia,501
VIC,Latrobe - Gippsland,South Gippsland,Outer Regional Australia,502
TAS,Launceston and North East,West Tamar,Inner Regional Australia,503
NSW,Illawarra,Wollondilly,Inner Regional Australia,504
SA,South Australia - Outback,Cleve,Remote Australia,505
NT,Northern Territory - Outback,West Arnhem,Remote Australia,506
NSW,Murray,Wentworth,Outer Regional Australia,507
NSW,Sydney - Parramatta,Canterbury-Bankstown,Major Cities of Australia,508
TAS,West and North West,King Island,Very Remote Australia,509
SA,South Australia - South East,Kangaroo Island,Remote Australia,510
TAS,Launceston and North East,Meander Valley,Inner Regional Australia,511
NSW,New England and North West,Uralla,Inner Regional Australia,512
SA,Adelaide - South,Holdfast Bay,Major Cities of Australia,513
QLD,Cairns,Douglas,Remote Australia,514
NSW,Riverina,Carrathool,Remote Australia,515
VIC,Melbourne - North East,Murrindindi,Inner Regional Australia,516
NSW,Far West and Orana,Bogan,Remote Australia,517
VIC,Hume,Alpine,Outer Regional Australia,518
NSW,Far West and Orana,Brewarrina,Very Remote Australia,519
NSW,Sydney - Outer West and Blue Mountains,Wollondilly,Inner Regional Australia,520
NT,Northern Territory - Outback,East Arnhem,Very Remote Australia,521
SA,South Australia - Outback,Port Lincoln,Remote Australia,522
QLD,Queensland - Outback,Carpentaria,Very Remote Australia,523
SA,Adelaide - North,Light,Inner Regional Australia,524
NSW,Sydney - South West,Camden,Major Cities of Australia,525
NSW,Capital Region,Queanbeyan-Palerang,Outer Regional Australia,526
QLD,Queensland - Outback,Longreach,Very Remote Australia,527
NSW,Newcastle and Lake Macquarie,Maitland,Major Cities of Australia,528
VIC,Warrnambool and South West,Colac Otway,Outer Regional Australia,529
SA,South Australia - Outback,Lower Eyre Peninsula,Remote Australia,530
NT,Northern Territory - Outback,MacDonnell,Remote Australia,531
WA,Western Australia - Wheat Belt,York,Inner Regional Australia,532
WA,Perth - South West,Rockingham,Major Cities of Australia,533
WA,Western Australia - Wheat Belt,Plantagenet,Outer Regional Australia,534
WA,Perth - South West,Kwinana,Major Cities of Australia,535
WA,Mandurah,Murray,Inner Regional Australia,536
WA,Western Australia - Wheat Belt,Dumbleyung,Remote Australia,537
WA,Western Australia - Outback (North),Port Hedland,Remote Australia,538
NSW,Riverina,Coolamon,Inner Regional Australia,539
WA,Perth - North West,Stirling,Major Cities of Australia,540
SA,South Australia - South East,Robe,Outer Regional Australia,541
WA,Perth - Inner,Cambridge,Major Cities of Australia,542
WA,Perth - North West,Wanneroo,Major Cities of Australia,543
QLD,Moreton Bay - North,Somerset,Inner Regional Australia,544
NSW,Richmond - Tweed,Richmond Valley,Outer Regional Australia,545
WA,Perth - South East,Gosnells,Major Cities of Australia,546
WA,Western Australia - Wheat Belt,Dandaragan,Outer Regional Australia,547
NSW,Sydney - Ryde,The Hills,Major Cities of Australia,548
WA,Perth - South East,Serpentine-Jarrahdale,Major Cities of Australia,549
WA,Mandurah,Mandurah,Major Cities of Australia,550
SA,South Australia - South East,Southern Mallee,Outer Regional Australia,551
WA,Western Australia - Wheat Belt,Woodanilling,Outer Regional Australia,552
NSW,Central West,Warrumbungle,Outer Regional Australia,553
WA,Western Australia - Wheat Belt,Dowerin,Outer Regional Australia,554
WA,Western Australia - Outback (South),Kalgoorlie-Boulder,Outer Regional Australia,555
WA,Western Australia - Outback (South),Greater Geraldton,Outer Regional Australia,556
WA,Bunbury,Harvey,Inner Regional Australia,557
WA,Perth - South East,Serpentine-Jarrahdale,Inner Regional Australia,558
WA,Perth - North East,Bayswater,Major Cities of Australia,559
WA,Perth - North East,Swan,Major Cities of Australia,560
QLD,Queensland - Outback,Doomadgee,Very Remote Australia,561
QLD,Queensland - Outback,Croydon,Very Remote Australia,562
NT,Northern Territory - Outback,West Arnhem,Very Remote Australia,563
WA,Western Australia - Wheat Belt,Albany,Outer Regional Australia,564
TAS,South East,Central Highlands (Tas.),Outer Regional Australia,565
NSW,Riverina,Lockhart,Outer Regional Australia,566
WA,Western Australia - Wheat Belt,Chittering,Inner Regional Australia,567
WA,Perth - South East,Canning,Major Cities of Australia,568
WA,Western Australia - Outback (South),Perenjori,Remote Australia,569
WA,Western Australia - Outback (South),Mount Magnet,Very Remote Australia,570
WA,Bunbury,Donnybrook-Balingup,Inner Regional Australia,571
NSW,Far West and Orana,Cobar,Remote Australia,572
QLD,Queensland - Outback,Hope Vale,Remote Australia,573
WA,Bunbury,Augusta Margaret River,Outer Regional Australia,574
WA,Perth - Inner,Vincent,Major Cities of Australia,575
WA,Western Australia - Wheat Belt,Wickepin,Outer Regional Australia,576
SA,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Inner Regional Australia,577
VIC,Hume,Wangaratta,Outer Regional Australia,578
VIC,Melbourne - North West,Melton,Major Cities of Australia,579
WA,Perth - South West,Cockburn,Major Cities of Australia,580
WA,Western Australia - Outback (South),Kalgoorlie-Boulder,Very Remote Australia,581
WA,Perth - South East,Victoria Park,Major Cities of Australia,582
WA,Perth - South East,Armadale,Major Cities of Australia,583
WA,Bunbury,Bunbury,Inner Regional Australia,584
WA,Western Australia - Wheat Belt,Gingin,Inner Regional Australia,585
WA,Western Australia - Wheat Belt,Moora,Remote Australia,586
WA,Perth - Inner,Perth,Major Cities of Australia,587
WA,Bunbury,Busselton,Inner Regional Australia,588
WA,Western Australia - Wheat Belt,Williams,Outer Regional Australia,589
WA,Bunbury,Augusta Margaret River,Inner Regional Australia,590
TAS,South East,Derwent Valley,Outer Regional Australia,591
QLD,Queensland - Outback,Quilpie,Very Remote Australia,592
WA,Western Australia - Wheat Belt,Kojonup,Outer Regional Australia,593
WA,Western Australia - Wheat Belt,Mount Marshall,Remote Australia,594
SA,South Australia - South East,Kingston (SA),Outer Regional Australia,595
WA,Western Australia - Outback (North),Karratha,Remote Australia,596
SA,South Australia - Outback,Elliston,Very Remote Australia,597
WA,Western Australia - Outback (South),Coolgardie,Very Remote Australia,598
QLD,Cairns,Tablelands,Remote Australia,599
VIC,Melbourne - Inner South,Monash,Major Cities of Australia,600
WA,Western Australia - Outback (North),Derby-West Kimberley,Very Remote Australia,601
WA,Perth - North East,Mundaring,Inner Regional Australia,602
SA,Adelaide - North,Light,Major Cities of Australia,603
WA,Perth - South East,Belmont,Major Cities of Australia,604
WA,Western Australia - Wheat Belt,Nungarin,Remote Australia,605
VIC,Melbourne - Inner South,Bayside (Vic.),Major Cities of Australia,606
WA,Western Australia - Wheat Belt,Northam,Inner Regional Australia,607
WA,Western Australia - Outback (North),Port Hedland,Very Remote Australia,608
WA,Perth - South West,Melville,Major Cities of Australia,609
WA,Perth - North East,Bassendean,Major Cities of Australia,610
WA,Western Australia - Wheat Belt,Yilgarn,Remote Australia,611
WA,Western Australia - Outback (North),Broome,Very Remote Australia,612
WA,Western Australia - Outback (South),Chapman Valley,Remote Australia,613
NSW,New England and North West,Uralla,Outer Regional Australia,614
WA,Western Australia - Wheat Belt,Broomehill-Tambellup,Outer Regional Australia,615
WA,Western Australia - Outback (South),Meekatharra,Very Remote Australia,616
WA,Western Australia - Outback (South),Esperance,Remote Australia,617
QLD,Moreton Bay - North,Sunshine Coast,Inner Regional Australia,618
WA,Bunbury,Capel,Inner Regional Australia,619
WA,Western Australia - Outback (South),Dundas,Very Remote Australia,620
NSW,Riverina,Federation,Outer Regional Australia,621
VIC,Hume,Towong,Inner Regional Australia,622
WA,Western Australia - Wheat Belt,Lake Grace,Very Remote Australia,623
WA,Bunbury,Dardanup,Inner Regional Australia,624
WA,Western Australia - Wheat Belt,Kondinin,Very Remote Australia,625
WA,Western Australia - Wheat Belt,Kent,Remote Australia,626
NSW,Sydney - Inner West,Canada Bay,Major Cities of Australia,627
WA,Western Australia - Wheat Belt,Wagin,Outer Regional Australia,628
WA,Bunbury,Manjimup,Outer Regional Australia,629
NSW,Sydney - Parramatta,Fairfield,Major Cities of Australia,630
WA,Mandurah,Murray,Major Cities of Australia,631
WA,Western Australia - Wheat Belt,Denmark,Outer Regional Australia,632
NSW,Hunter Valley exc Newcastle,Singleton,Outer Regional Australia,633
QLD,Central Queensland,Banana,Remote Australia,634
WA,Western Australia - Wheat Belt,Boddington,Inner Regional Australia,635
WA,Western Australia - Wheat Belt,Bruce Rock,Remote Australia,636
WA,Perth - North East,Swan,Inner Regional Australia,637
WA,Western Australia - Wheat Belt,Kulin,Remote Australia,638
WA,Western Australia - Wheat Belt,Cuballing,Outer Regional Australia,639
NSW,Hunter Valley exc Newcastle,Dungog,Outer Regional Australia,640
WA,Western Australia - Outback (South),Carnarvon,Very Remote Australia,641
VIC,North West,Hindmarsh,Outer Regional Australia,642
WA,Western Australia - Outback (North),Wyndham-East Kimberley,Very Remote Australia,643
WA,Western Australia - Wheat Belt,Beverley,Outer Regional Australia,644
WA,Western Australia - Outback (South),Ravensthorpe,Very Remote Australia,645
WA,Perth - North West,Joondalup,Major Cities of Australia,646
QLD,Queensland - Outback,Mount Isa,Very Remote Australia,647
VIC,Melbourne - West,Moorabool,Major Cities of Australia,648
SA,South Australia - Outback,Coober Pedy,Very Remote Australia,649
QLD,Central Queensland,Central Highlands (Qld),Very Remote Australia,650
NT,Northern Territory - Outback,Katherine,Remote Australia,651
WA,Western Australia - Wheat Belt,Dalwallinu,Remote Australia,652
WA,Western Australia - Wheat Belt,Gnowangerup,Remote Australia,653
NSW,Riverina,Junee,Outer Regional Australia,654
VIC,Ballarat,Loddon,Inner Regional Australia,655
NSW,Capital Region,Goulburn Mulwaree,Outer Regional Australia,656
SA,Barossa - Yorke - Mid North,Goyder,Outer Regional Australia,657
WA,Western Australia - Wheat Belt,Wongan-Ballidu,Remote Australia,658
WA,Bunbury,Collie,Inner Regional Australia,659
WA,Perth - South East,Armadale,Inner Regional Australia,660
NSW,Riverina,Cootamundra-Gundagai,Outer Regional Australia,661
WA,Perth - North West,Wanneroo,Inner Regional Australia,662
WA,Western Australia - Outback (North),East Pilbara,Very Remote Australia,663
WA,Western Australia - Outback (South),Menzies,Very Remote Australia,664
WA,Western Australia - Outback (North),Halls Creek,Very Remote Australia,665
WA,Western Australia - Outback (South),Irwin,Outer Regional Australia,666
NSW,Far West and Orana,Walgett,Very Remote Australia,667
QLD,Cairns,Yarrabah,Outer Regional Australia,668
WA,Western Australia - Wheat Belt,Pingelly,Outer Regional Australia,669
NSW,New England and North West,Narrabri,Remote Australia,670
WA,Western Australia - Outback (North),Broome,Remote Australia,671
WA,Western Australia - Wheat Belt,Kondinin,Remote Australia,672
WA,Western Australia - Outback (South),Cue,Very Remote Australia,673
NSW,Murray,Hay,Outer Regional Australia,674
NSW,Sydney - Outer South West,Wollondilly,Major Cities of Australia,675
WA,Perth - South East,Kalamunda,Major Cities of Australia,676
QLD,Wide Bay,Fraser Coast,Remote Australia,677
WA,Western Australia - Wheat Belt,Quairading,Outer Regional Australia,678
VIC,Latrobe - Gippsland,East Gippsland,Remote Australia,679
NSW,Sydney - City and Inner South,Randwick,Major Cities of Australia,680
WA,Perth - North East,Mundaring,Major Cities of Australia,681
QLD,Queensland - Outback,Mornington,Very Remote Australia,682
WA,Western Australia - Wheat Belt,Wandering,Outer Regional Australia,683
WA,Bunbury,Nannup,Outer Regional Australia,684
NSW,Far West and Orana,Broken Hill,Outer Regional Australia,685
WA,Western Australia - Outback (South),Ngaanyatjarraku,Very Remote Australia,686
QLD,Brisbane - West,Brisbane,Inner Regional Australia,687
WA,Western Australia - Wheat Belt,Corrigin,Remote Australia,688
SA,South Australia - Outback,Anangu Pitjantjatjara Yankunytjatjara,Very Remote Australia,689
WA,Perth - South West,Fremantle,Major Cities of Australia,690
WA,Western Australia - Wheat Belt,Toodyay,Inner Regional Australia,691
SA,South Australia - Outback,Streaky Bay,Very Remote Australia,692
VIC,Warrnambool and South West,Southern Grampians,Inner Regional Australia,693
WA,Western Australia - Wheat Belt,Victoria Plains,Outer Regional Australia,694
WA,Western Australia - Outback (South),Northampton,Remote Australia,695
WA,Bunbury,Bridgetown-Greenbushes,Outer Regional Australia,696
SA,South Australia - Outback,Kimba,Remote Australia,697
WA,Western Australia - Wheat Belt,Katanning,Outer Regional Australia,698
WA,Western Australia - Wheat Belt,Jerramungup,Remote Australia,699
WA,Western Australia - Outback (South),Carnamah,Remote Australia,700
WA,Western Australia - Outback (North),Ashburton,Very Remote Australia,701
WA,Western Australia - Wheat Belt,West Arthur,Outer Regional Australia,702
NSW,Riverina,Cootamundra-Gundagai,Inner Regional Australia,703
SA,South Australia - South East,Mount Gambier,Outer Regional Australia,704
WA,Perth - South East,South Perth,Major Cities of Australia,705
WA,Western Australia - Wheat Belt,Brookton,Outer Regional Australia,706
QLD,Queensland - Outback,Burke,Very Remote Australia,707
WA,Perth - Inner,Nedlands,Major Cities of Australia,708
WA,Western Australia - Wheat Belt,Gingin,Outer Regional Australia,709
WA,Perth - Inner,Stirling,Major Cities of Australia,710
SA,South Australia - Outback,Franklin Harbour,Remote Australia,711
NSW,Sydney - Northern Beaches,Northern Beaches,Inner Regional Australia,712
SA,South Australia - South East,Coorong,Inner Regional Australia,713
WA,Bunbury,Waroona,Inner Regional Australia,714
WA,Western Australia - Wheat Belt,Cunderdin,Outer Regional Australia,715
WA,Western Australia - Outback (South),Greater Geraldton,Remote Australia,716
WA,Western Australia - Wheat Belt,Lake Grace,Remote Australia,717
NSW,Illawarra,Kiama,Major Cities of Australia,718
NSW,Central West,Oberon,Inner Regional Australia,719
WA,Western Australia - Wheat Belt,Cranbrook,Outer Regional Australia,720
TAS,Launceston and North East,Break O'Day,Remote Australia,721
NT,Northern Territory - Outback,Victoria Daly,Remote Australia,722
NSW,Murray,Murrumbidgee,Outer Regional Australia,723
NSW,Sydney - Eastern Suburbs,Sydney,Major Cities of Australia,724
WA,Western Australia - Outback (South),Chapman Valley,Outer Regional Australia,725
SA,South Australia - South East,Kingston (SA),Remote Australia,726
WA,Mandurah,Mandurah,Inner Regional Australia,727
WA,Perth - South East,Kalamunda,Inner Regional Australia,728
WA,Western Australia - Wheat Belt,Kellerberrin,Outer Regional Australia,729
WA,Perth - North East,Kalamunda,Inner Regional Australia,730
QLD,Darling Downs - Maranoa,Balonne,Very Remote Australia,731
NSW,Murray,Murray River,Remote Australia,732
VIC,Ballarat,Ararat,Inner Regional Australia,733
NT,Northern Territory - Outback,Wagait,Remote Australia,734
QLD,Queensland - Outback,Weipa,Very Remote Australia,735
VIC,Melbourne - West,Wyndham,Inner Regional Australia,736
SA,Adelaide - North,Barossa,Major Cities of Australia,737
VIC,Ballarat,Pyrenees,Outer Regional Australia,738
QLD,Queensland - Outback,Pormpuraaw,Very Remote Australia,739
WA,Western Australia - Wheat Belt,Wongan-Ballidu,Outer Regional Australia,740
WA,Western Australia - Outback (North),Karratha,Very Remote Australia,741
NSW,Far West and Orana,Bourke,Very Remote Australia,742
NSW,Central West,Bathurst,Outer Regional Australia,743
QLD,Brisbane - East,Redland,Remote Australia,744
WA,Western Australia - Wheat Belt,Moora,Outer Regional Australia,745
NSW,Coffs Harbour - Grafton,Richmond Valley,Outer Regional Australia,746
NSW,Hunter Valley exc Newcastle,Upper Hunter,Inner Regional Australia,747
VIC,Hume,Unincorporated Vic,Outer Regional Australia,748
VIC,Melbourne - West,Melton,Inner Regional Australia,749
VIC,Hume,Greater Shepparton,Inner Regional Australia,750
NSW,Hunter Valley exc Newcastle,Dungog,Inner Regional Australia,751
WA,Western Australia - Wheat Belt,Chittering,Outer Regional Australia,752
QLD,Townsville,Palm Island,Remote Australia,753
NT,Northern Territory - Outback,West Daly,Very Remote Australia,754
WA,Perth - Inner,Mosman Park,Major Cities of Australia,755
WA,Western Australia - Wheat Belt,Narrogin,Outer Regional Australia,756
WA,Western Australia - Wheat Belt,Merredin,Remote Australia,757
NT,Northern Territory - Outback,Unincorporated NT,Very Remote Australia,758
WA,Western Australia - Wheat Belt,Westonia,Remote Australia,759
WA,Western Australia - Outback (South),Morawa,Remote Australia,760
WA,Perth - Inner,Claremont,Major Cities of Australia,761
WA,Western Australia - Outback (South),Mingenew,Outer Regional Australia,762
WA,Western Australia - Wheat Belt,Merredin,Outer Regional Australia,763
QLD,Wide Bay,Fraser Coast,Outer Regional Australia,764
WA,Western Australia - Wheat Belt,Murray,Inner Regional Australia,765
NSW,Sydney - Parramatta,The Hills,Major Cities of Australia,766
NSW,Sydney - South West,Liverpool,Inner Regional Australia,767
WA,Western Australia - Wheat Belt,Boddington,Outer Regional Australia,768
SA,Barossa - Yorke - Mid North,Yorke Peninsula,Remote Australia,769
WA,Western Australia - Wheat Belt,Goomalling,Outer Regional Australia,770
WA,Perth - Inner,Subiaco,Major Cities of Australia,771
WA,Western Australia - Wheat Belt,Trayning,Remote Australia,772
WA,Bunbury,Manjimup,Remote Australia,773
WA,Western Australia - Outback (South),Esperance,Very Remote Australia,774
SA,South Australia - Outback,Franklin Harbour,Outer Regional Australia,775
NT,Northern Territory - Outback,West Daly,Remote Australia,776
WA,Western Australia - Outback (South),Shark Bay,Very Remote Australia,777
WA,Western Australia - Outback (South),Exmouth,Very Remote Australia,778
VIC,Ballarat,Ararat,Outer Regional Australia,779
WA,Western Australia - Outback (South),Sandstone,Very Remote Australia,780
VIC,Warrnambool and South West,Surf Coast,Inner Regional Australia,781
WA,Western Australia - Wheat Belt,Gnowangerup,Outer Regional Australia,782
WA,Bunbury,Boyup Brook,Outer Regional Australia,783
WA,Perth - Inner,Cottesloe ,Major Cities of Australia,784
WA,Western Australia - Wheat Belt,Wickepin,Remote Australia,785
WA,Western Australia - Outback (South),Leonora,Very Remote Australia,786
